(he1 -0.084)(he2 0)(lae1 0.0516)(lae2 0.1958)(lae3 0.1738)(lae4 0.0221)(rae1 0.0516)(rae2 -0.2267)(rae3 -0.1737)(rae4 -0.0221)(lle1 0.0177)(lle2 0.0029)(lle3 -0.0103)(lle4 0.0736)(lle5 -0.0338)(lle6 -0.0074)(rle1 0.0177)(rle2 -0.0029)(rle3 -0.0323)(rle4 0.106)(rle5 -0.0309)(rle6 0.0074)
(he1 0)(he2 0)(lae1 18.4388)(lae2 -3.8959)(lae3 0)(lae4 0.0014)(rae1 18.4388)(rae2 3.896)(rae3 0)(rae4 -0.0014)(lle1 -9.2147)(lle2 0)(lle3 1.1133)(lle4 -9.98678)(lle5 -7.2925)(lle6 -0.686447)(rle1 -9.2147)(rle2 0)(rle3 1.1149)(rle4 -9.98678)(rle5 -7.2925)(rle6 0.686447)
(he1 0)(he2 0)(lae1 18.0354)(lae2 -3.7587)(lae3 0)(lae4 0.0015)(rae1 18.0354)(rae2 3.7587)(rae3 0)(rae4 -0.0015)(lle1 -8.1602)(lle2 0)(lle3 0.8748)(lle4 -8.93388)(lle5 -6.2228)(lle6 -0.540247)(rle1 -8.1602)(rle2 0)(rle3 0.8747)(rle4 -8.93388)(rle5 -6.2228)(rle6 0.540247)
(he1 0)(he2 0)(lae1 16.9362)(lae2 -3.0544)(lae3 0)(lae4 0.0015)(rae1 16.9362)(rae2 3.0544)(rae3 0)(rae4 -0.0015)(lle1 -7.1057)(lle2 0)(lle3 0.6862)(lle4 -7.87928)(lle5 -5.182)(lle6 -0.425347)(rle1 -7.1057)(rle2 0)(rle3 0.6862)(rle4 -7.87928)(rle5 -5.182)(rle6 0.425347)
(he1 0)(he2 0)(lae1 15.8818)(lae2 -2.4126)(lae3 0)(lae4 0.0015)(rae1 15.8818)(rae2 2.4126)(rae3 0)(rae4 -0.0015)(lle1 -6.0496)(lle2 0)(lle3 0.539)(lle4 -6.82478)(lle5 -4.1347)(lle6 -0.333947)(rle1 -6.0496)(rle2 0)(rle3 0.539)(rle4 -6.82478)(rle5 -4.1347)(rle6 0.333947)
(he1 0)(he2 0)(lae1 14.8273)(lae2 -1.8955)(lae3 0)(lae4 -0.0001)(rae1 14.8273)(rae2 1.8955)(rae3 0)(rae4 0.0001)(lle1 -4.9952)(lle2 0)(lle3 0.4226)(lle4 -5.77028)(lle5 -3.2589)(lle6 -0.261747)(rle1 -4.9952)(rle2 0)(rle3 0.4226)(rle4 -5.77028)(rle5 -3.2589)(rle6 0.261747)
(he1 0)(he2 0)(lae1 13.7712)(lae2 -1.4889)(lae3 0)(lae4 0)(rae1 13.7712)(rae2 1.4889)(rae3 0)(rae4 0)(lle1 -3.9567)(lle2 0)(lle3 0.3329)(lle4 -4.71578)(lle5 -2.5644)(lle6 -0.205847)(rle1 -3.9567)(rle2 0)(rle3 0.3329)(rle4 -4.71578)(rle5 -2.5644)(rle6 0.205847)
(he1 0)(he2 0)(lae1 12.7168)(lae2 -1.1693)(lae3 0)(lae4 0)(rae1 12.7168)(rae2 1.1693)(rae3 0)(rae4 0)(lle1 -3.1108)(lle2 0)(lle3 0.2606)(lle4 -3.73008)(lle5 -2.0163)(lle6 -0.160047)(rle1 -3.1108)(rle2 0)(rle3 0.2606)(rle4 -3.73008)(rle5 -2.0163)(rle6 0.160047)
(he1 0)(he2 0)(lae1 11.6623)(lae2 -0.919)(lae3 0)(lae4 0)(rae1 11.6623)(rae2 0.9174)(rae3 0)(rae4 0)(lle1 -2.4432)(lle2 0)(lle3 0.2047)(lle4 -2.93048)(lle5 -1.5847)(lle6 -0.126347)(rle1 -2.4432)(rle2 0)(rle3 0.2047)(rle4 -2.93048)(rle5 -1.5847)(rle6 0.126347)
(he1 0)(he2 0)(lae1 10.6078)(lae2 -0.7216)(lae3 0)(lae4 0)(rae1 10.6062)(rae2 0.7201)(rae3 0)(rae4 0)(lle1 -1.9173)(lle2 0)(lle3 0.1605)(lle4 -2.30138)(lle5 -1.246)(lle6 -0.0982469)(rle1 -1.9173)(rle2 0)(rle3 0.1605)(rle4 -2.30138)(rle5 -1.246)(rle6 0.0982469)
(he1 0)(he2 0)(lae1 9.55169)(lae2 -0.5654)(lae3 0)(lae4 0)(rae1 9.55179)(rae2 0.5655)(rae3 0)(rae4 0)(lle1 -1.505)(lle2 0)(lle3 0.1267)(lle4 -2.01128)(lle5 -0.9778)(lle6 -0.0777469)(rle1 -1.505)(rle2 0)(rle3 0.1251)(rle4 -2.01128)(rle5 -0.9778)(rle6 0.0777469)
(he1 0)(he2 0)(lae1 8.49729)(lae2 -0.4448)(lae3 0)(lae4 0)(rae1 8.49729)(rae2 0.4448)(rae3 0)(rae4 0)(lle1 -1.1826)(lle2 0)(lle3 0.0986)(lle4 -1.60968)(lle5 -0.7672)(lle6 -0.0599469)(rle1 -1.1826)(rle2 0)(rle3 0.0987)(rle4 -1.61128)(rle5 -0.7688)(rle6 0.0599469)
(he1 0)(he2 0)(lae1 8.6998)(lae2 -0.349)(lae3 0)(lae4 0)(rae1 8.6998)(rae2 0.349)(rae3 0)(rae4 0)(lle1 0.516131)(lle2 0)(lle3 -14.9962)(lle4 16.6675)(lle5 6.1939)(lle6 -0.0467469)(rle1 0.516131)(rle2 0)(rle3 -14.9962)(rle4 16.6676)(rle5 6.194)(rle6 0.0467469)
